Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-06-11,67332.03125,69512.28125,69647.9921875,69305.7734375,69342.5859375,70757.1640625,71082.8203125,70567.765625,67332.03125
2024-06-12,68241.1875,67332.03125,69512.28125,69647.9921875,69305.7734375,69342.5859375,70757.1640625,71082.8203125,68241.1875
2024-06-13,66756.3984375,68241.1875,67332.03125,69512.28125,69647.9921875,69305.7734375,69342.5859375,70757.1640625,66756.3984375
2024-06-14,66011.09375,66756.3984375,68241.1875,67332.03125,69512.28125,69647.9921875,69305.7734375,69342.5859375,66011.09375
2024-06-15,66191.0,66011.09375,66756.3984375,68241.1875,67332.03125,69512.28125,69647.9921875,69305.7734375,66191.0
2024-06-16,66639.046875,66191.0,66011.09375,66756.3984375,68241.1875,67332.03125,69512.28125,69647.9921875,66639.046875
2024-06-17,66490.296875,66639.046875,66191.0,66011.09375,66756.3984375,68241.1875,67332.03125,69512.28125,66490.296875
2024-06-18,65140.74609375,66490.296875,66639.046875,66191.0,66011.09375,66756.3984375,68241.1875,67332.03125,65140.74609375
2024-06-19,64960.296875,65140.74609375,66490.296875,66639.046875,66191.0,66011.09375,66756.3984375,68241.1875,64960.296875
2024-06-20,64828.65625,64960.296875,65140.74609375,66490.296875,66639.046875,66191.0,66011.09375,66756.3984375,64828.65625
2024-06-21,64096.19921875,64828.65625,64960.296875,65140.74609375,66490.296875,66639.046875,66191.0,66011.09375,64096.19921875
2024-06-22,64252.578125,64096.19921875,64828.65625,64960.296875,65140.74609375,66490.296875,66639.046875,66191.0,64252.578125
2024-06-23,63180.796875,64252.578125,64096.19921875,64828.65625,64960.296875,65140.74609375,66490.296875,66639.046875,63180.796875
2024-06-24,60277.4140625,63180.796875,64252.578125,64096.19921875,64828.65625,64960.296875,65140.74609375,66490.296875,60277.4140625
2024-06-25,61804.640625,60277.4140625,63180.796875,64252.578125,64096.19921875,64828.65625,64960.296875,65140.74609375,61804.640625
2024-06-26,60811.27734375,61804.640625,60277.4140625,63180.796875,64252.578125,64096.19921875,64828.65625,64960.296875,60811.27734375
2024-06-27,61604.80078125,60811.27734375,61804.640625,60277.4140625,63180.796875,64252.578125,64096.19921875,64828.65625,61604.80078125
